,match_id,competition,season,home_team,away_team,home_score,away_score,home_win,away_win,tie,match_id_2,home_team_2,away_team_2,t1_t1_entropy,t2_t2_entropy,t1_t2_entropy,t2_t1_entropy,total_entropy,team1_entropy_segment,team2_entropy_segment,SEI,Home_Win_Pred,away_Win_Pred
90,266620, La Liga, 2015/2016, Barcelona, Granada,4,0,1,0,0,266620,Barcelona,Granada,5.243303091,2.823387313,1.433413663,1.382270261,10.88237433,0.477116439,0.264145547,0.212970893,1,0
91,266631, La Liga, 2014/2015, Atlético Madrid, Barcelona,0,1,0,1,0,266631,Atlético Madrid,Barcelona,1.983721042,5.439804185,1.151442064,1.416463103,9.991430394,0.225067082,0.517922153,-0.292855072,0,1
92,266653, La Liga, 2015/2016, Rayo Vallecano, Barcelona,1,5,0,1,0,266653,Rayo Vallecano,Barcelona,2.856041788,4.940788257,1.204570022,1.166610988,10.16801105,0.277151818,0.4896481,-0.212496281,0,1
93,266664, La Liga, 2015/2016, Real Sociedad, Barcelona,1,0,1,0,0,266664,Real Sociedad,Barcelona,2.21880541,5.528784381,1.429664916,1.339707832,10.51696254,0.202420454,0.534255156,-0.331834703,0,1
94,266669, La Liga, 2016/2017, Barcelona, Deportivo Alavés,1,2,0,1,0,266669,Barcelona,Deportivo Alavés,5.593236455,2.151341519,1.602830189,1.574149906,10.92155807,0.509502045,0.199607216,0.309894829,1,0
95,266741, La Liga, 2014/2015, Barcelona, Levante,5,0,1,0,0,266741,Barcelona,Levante,6.316206487,2.170029258,1.063974763,1.055583888,10.6057944,0.594751829,0.205399054,0.389352775,1,0
96,266770, La Liga, 2014/2015, Levante, Barcelona,0,5,0,1,0,266770,Levante,Barcelona,2.494939802,5.876709827,1.019429501,0.912071337,10.30315047,0.231733162,0.580799825,-0.349066663,0,1
97,266794, La Liga, 2014/2015, Elche, Barcelona,0,6,0,1,0,266794,Elche,Barcelona,2.504709639,5.679201529,1.15252677,1.080836225,10.41727416,0.233556212,0.552053444,-0.318497231,0,1
98,266815, La Liga, 2015/2016, Sporting Gijón, Barcelona,1,3,0,1,0,266815,Sporting Gijón,Barcelona,2.065675022,6.079113151,1.192954817,1.245685256,10.58342825,0.2001625,0.569416882,-0.369254381,0,1
99,266827, La Liga, 2012/2013, Málaga, Barcelona,1,3,0,1,0,266827,Málaga,Barcelona,3.148944637,5.401971694,1.190193046,1.02407837,10.76518775,0.277081091,0.517230772,-0.240149681,0,1
100,266838, La Liga, 2014/2015, Málaga, Barcelona,0,0,0,0,1,266838,Málaga,Barcelona,2.385910683,5.013107188,1.310666048,1.405083412,10.11476733,0.245218497,0.486287985,-0.241069487,0,1
101,266871, La Liga, 2014/2015, Athletic Club, Barcelona,2,5,0,1,0,266871,Athletic Club,Barcelona,2.553930776,5.689126402,0.990023828,0.994458794,10.2275398,0.250144785,0.555821981,-0.305677197,0,1
102,266874, La Liga, 2016/2017, Barcelona, Athletic Club,3,0,1,0,0,266874,Barcelona,Athletic Club,4.45078062,3.439456486,1.629033937,1.356455112,10.87572615,0.384176811,0.34131379,0.042863021,1,0
103,266883, La Liga, 2013/2014, Real Betis, Barcelona,1,4,0,1,0,266883,Real Betis,Barcelona,3.474620329,4.193184089,1.487090156,1.397878558,10.55277313,0.320807497,0.405807614,-0.085000117,0,1
104,266892, La Liga, 2016/2017, Athletic Club, Barcelona,0,1,0,1,0,266892,Athletic Club,Barcelona,2.871230298,5.021746823,0.977233485,1.256976929,10.12718754,0.31114006,0.468244847,-0.157104787,0,1
105,266929, La Liga, 2014/2015, Celta Vigo, Barcelona,0,1,0,1,0,266929,Celta Vigo,Barcelona,2.981911504,4.2956817,1.535771575,1.354708696,10.16807347,0.275455191,0.44027461,-0.164819418,0,1
106,266961, La Liga, 2015/2016, Barcelona, RC Deportivo La Coruña,2,2,0,0,1,266961,Barcelona,RC Deportivo La Coruña,5.357027512,2.735579373,1.529655182,1.52491665,11.14717872,0.480147409,0.245830624,0.234316785,1,0
107,266967, La Liga, 2014/2015, Eibar, Barcelona,0,2,0,1,0,266967,Eibar,Barcelona,2.678970231,5.074063193,1.195104514,1.218632512,10.16677045,0.265816784,0.496768883,-0.230952098,0,1
108,266986, La Liga, 2015/2016, Real Betis, Barcelona,0,2,0,1,0,266986,Real Betis,Barcelona,2.203249712,6.004327634,1.08569221,1.184604531,10.47787409,0.21971652,0.563608158,-0.343891638,0,1
109,266989, La Liga, 2016/2017, Sevilla, Barcelona,1,2,0,1,0,266989,Sevilla,Barcelona,3.757129282,3.896198553,1.422507601,1.183301656,10.25913709,0.342906358,0.403094769,-0.060188411,0,1
110,267039, La Liga, 2016/2017, Las Palmas, Barcelona,1,4,0,1,0,267039,Las Palmas,Barcelona,3.709756759,5.09435063,0.867381988,1.114247134,10.78573651,0.366838361,0.449434814,-0.082596453,0,1
111,267058, La Liga, 2016/2017, Barcelona, Granada,1,0,1,0,0,267058,Barcelona,Granada,6.08209233,2.299560699,1.309168532,1.108491931,10.79931349,0.544610149,0.23151817,0.313091979,1,0
112,267077, La Liga, 2016/2017, Espanyol, Barcelona,0,3,0,1,0,267077,Espanyol,Barcelona,2.645463473,5.037082888,1.031326815,1.268502256,9.982375431,0.288772841,0.480838201,-0.19206536,0,1
113,267085, La Liga, 2014/2015, Real Madrid, Barcelona,3,1,1,0,0,267085,Real Madrid,Barcelona,3.724043739,4.403103585,1.169158239,1.148165803,10.44447137,0.354546551,0.42358257,-0.069036018,0,1
114,267101, La Liga, 2016/2017, Barcelona, Osasuna,7,1,1,0,0,267101,Barcelona,Osasuna,6.370536353,1.962445228,1.407747764,1.347494672,11.08822402,0.569097743,0.182418602,0.386679141,1,0
115,267138, La Liga, 2013/2014, Granada, Barcelona,1,0,1,0,0,267138,Granada,Barcelona,1.47457025,5.808606455,0.999826497,1.297308632,9.580311833,0.184968132,0.575255213,-0.39028708,0,1
116,267183, La Liga, 2014/2015, Barcelona, Real Madrid,2,1,1,0,0,267183,Barcelona,Real Madrid,4.155248458,3.715967307,1.347416411,1.382574204,10.60120638,0.395276358,0.347206665,0.048069693,1,0
117,267192, La Liga, 2013/2014, Celta Vigo, Barcelona,0,3,0,1,0,267192,Celta Vigo,Barcelona,3.256086613,4.957849563,1.208376182,1.141651229,10.56396359,0.301909566,0.475633457,-0.173723891,0,1
118,267197, La Liga, 2014/2015, Barcelona, RC Deportivo La Coruña,2,2,0,0,1,267197,Barcelona,RC Deportivo La Coruña,6.38103122,2.126586585,1.436553172,1.479794031,11.42396501,0.562350469,0.182366256,0.379984213,1,0
119,267212, La Liga, 2016/2017, Leganés, Barcelona,1,5,0,1,0,267212,Leganés,Barcelona,2.868856964,4.09549274,1.493849757,1.521507448,9.979706909,0.290240453,0.407610673,-0.11737022,0,1
120,267274, La Liga, 2015/2016, Valencia, Barcelona,1,1,0,0,1,267274,Valencia,Barcelona,2.428942502,5.374459895,0.990979528,1.64961984,10.44400176,0.295632161,0.451533779,-0.155901618,0,1
